id,name,power,brand,category,subcategory,energyRating,efficiency,modelNumber
"oven_3","KitchenAid KODE500ESS 30"" Double Wall Oven","2500","KitchenAid","Appliances","Oven","","Medium",""
"oven_4","Whirlpool WOD51HZES 30"" Double Wall Oven","2700","Whirlpool","Appliances","Oven","","Medium",""
"oven_5","Maytag MWO5105BZ 30"" Single Wall Oven","2300","Maytag","Appliances","Oven","","Medium",""
"oven_6","Frigidaire Gallery FGEW3065UF 30"" Wall Oven","2800","Frigidaire","Appliances","Oven","","Medium",""
"oven_7","Samsung NE58K9430WS 30"" Wall Oven","2450","Samsung","Appliances","Oven","","High",""
"oven_8","LG LDE4413ST 30"" Double Wall Oven","2550","LG","Appliances","Oven","","High",""
"oven_9","Panasonic NN-SN966S Countertop Microwave","1250","Panasonic","Appliances","Oven","","High",""
"oven_10","Electrolux EI30EF55QS 30"" Single Wall Oven","2750","Electrolux","Appliances","Oven","","Medium",""
"rest_oven_1","Vulcan VC4GD 4-Burner Gas Range","15000","Vulcan","Restaurant Equipment","Commercial Ovens","","Medium",""
"rest_oven_2","Wolf CR3040 30"" Gas Range","12000","Wolf","Restaurant Equipment","Commercial Ovens","","High",""
"rest_oven_3","Garland GR6 6-Burner Gas Range","18000","Garland","Restaurant Equipment","Commercial Ovens","","Medium",""
"rest_fridge_1","True T-49 4-Door Commercial Refrigerator","800","True","Restaurant Equipment","Commercial Fridges","","High",""
"rest_fridge_2","Beverage Air BM-23 Commercial Refrigerator","750","Beverage Air","Restaurant Equipment","Commercial Fridges","","High",""
"rest_fridge_3","Hoshizaki KM-500MAJ Commercial Refrigerator","850","Hoshizaki","Restaurant Equipment","Commercial Fridges","","Medium",""
"rest_freezer_1","Traulsen G-2 Commercial Freezer","900","Traulsen","Restaurant Equipment","Commercial Freezers","","High",""
"rest_freezer_2","Arctic Air Commercial Freezer","950","Arctic Air","Restaurant Equipment","Commercial Freezers","","Medium",""
"rest_prep_1","Hobart A200 Commercial Mixer","200","Hobart","Restaurant Equipment","Food Prep","","High",""
"rest_prep_2","KitchenAid 5KSM150PSER Stand Mixer","300","KitchenAid","Restaurant Equipment","Food Prep","","High",""
"rest_prep_3","Cuisinart SM-50 Stand Mixer","250","Cuisinart","Restaurant Equipment","Food Prep","","Medium",""
"rest_prep_4","Hamilton Beach Commercial Blender","400","Hamilton Beach","Restaurant Equipment","Food Prep","","Medium",""
"rest_prep_5","Berkel Commercial Meat Slicer","350","Berkel","Restaurant Equipment","Food Prep","","High",""
"office_comp_1","Dell OptiPlex 7090 Desktop","180","Dell","Office Equipment","Computers","","High",""
"office_comp_2","HP EliteDesk 800 G6 Desktop","200","HP","Office Equipment","Computers","","High",""
"office_comp_3","Lenovo ThinkCentre M90t Desktop","190","Lenovo","Office Equipment","Computers","","High",""
"office_laptop_1","MacBook Pro 14"" M1 Pro","70","Apple","Office Equipment","Laptops","","High",""
"office_laptop_2","Dell XPS 13 9310 Laptop","60","Dell","Office Equipment","Laptops","","High",""
"office_laptop_3","HP Spectre x360 13"" Laptop","65","HP","Office Equipment","Laptops","","High",""
"office_printer_1","HP LaserJet Pro M404n Printer","350","HP","Office Equipment","Printers","","High",""
"office_printer_2","Canon imageRUNNER ADVANCE C3530 Printer","450","Canon","Office Equipment","Printers","","Medium",""
"office_monitor_1","Dell UltraSharp U2720Q 27"" Monitor","25","Dell","Office Equipment","Monitors","","High",""
"office_monitor_2","LG 27UL850-W 27"" Monitor","30","LG","Office Equipment","Monitors","","High",""
"office_network_1","Cisco Catalyst 2960 Switch","15","Cisco","Office Equipment","Networking","","High",""
"office_network_2","Netgear GS108 Switch","8","Netgear","Office Equipment","Networking","","High",""
"etl_8_86515","Prefect Irus","Yes","Prefect Controls Ltd","ETL Technology","Prefect Controls Ltd","","High",""
"etl_11_86407","Asynchronous IE4 motor (230V)","0.12","NORD Gear Ltd","ETL Technology","NORD Gear Ltd","","High",""
"etl_11_86537","SK 550P-222-340-A","22","NORD Gear Ltd","ETL Technology","NORD Gear Ltd","","High",""
"etl_11_86536","SK 550P-182-340-A","18.5","NORD Gear Ltd","ETL Technology","NORD Gear Ltd","","High",""
"etl_11_86535","SK 550P-152-340-A","15","NORD Gear Ltd","ETL Technology","NORD Gear Ltd","","High",""
"etl_11_86534","SK 550P-112-340-A","11","NORD Gear Ltd","ETL Technology","NORD Gear Ltd","","High",""
"etl_11_86533","SK 550P-751-340-A","7.5","NORD Gear Ltd","ETL Technology","NORD Gear Ltd","","High",""
"etl_11_86532","SK 550P-551-340-A","5.5","NORD Gear Ltd","ETL Technology","NORD Gear Ltd","","High",""
"etl_11_86531","SK 550P-401-340-A","4","NORD Gear Ltd","ETL Technology","NORD Gear Ltd","","High",""
"etl_11_86530","SK 550P-301-340-A","3","NORD Gear Ltd","ETL Technology","NORD Gear Ltd","","High",""
"etl_11_86524","SK 550P-370-340-A","0.37","NORD Gear Ltd","ETL Technology","NORD Gear Ltd","","High",""
"etl_11_86523","SK 550P-250-340-A","0.25","NORD Gear Ltd","ETL Technology","NORD Gear Ltd","","High",""
"etl_11_86522","SK 550P-221-123-A","2.2","NORD Gear Ltd","ETL Technology","NORD Gear Ltd","","High",""
"etl_11_86529","SK 550P-221-340-A","2.2","NORD Gear Ltd","ETL Technology","NORD Gear Ltd","","High",""
"etl_11_86528","SK 550P-151-340-A","1.5","NORD Gear Ltd","ETL Technology","NORD Gear Ltd","","High",""
